Person_ID,Crash_Date,Crash_Location,Victim,Longitude,Latitude,Location
O1538374,03/19/2023 11:30:00 AM,2400 S WENTWORTH AVE,PEDESTRIAN,-87.63207812,41.84911545,POINT (-87.63207812 41.84911545)
O706822,07/31/2019 04:55:00 PM,2800 W COLUMBUS AVE,PEDESTRIAN,-87.69301,41.754821,POINT (-87.69301 41.754821)
O1506700,01/27/2023 05:46:00 PM,5049 W WASHINGTON BLVD,PEDESTRIAN,-87.75216366,41.88161789,POINT (-87.75216366 41.88161789)
P256162,07/17/2021 01:35:00 AM,5050 S ARCHER,PASSENGER,-87.72637277,41.80134967,POINT (-87.72637277 41.80134967)
O858408,03/09/2020 06:39:00 AM,1610 W 79TH ST,PEDESTRIAN,-87.66386,41.750457,POINT (-87.66386 41.750457)
O783901,11/17/2019 01:38:00 AM,6709 S STONY ISLAND AVE,CYCLIST,-87.58595,41.773028,POINT (-87.58595 41.773028)
O1295669,03/10/2022 01:39:00 PM,12400 S MICHIGAN AVE,DRIVER,-87.62034987,41.66890524,POINT (-87.62034987 41.66890524)
O1249011,12/19/2021 01:20:00 AM,6300  S STONY ISLAND AVE,DRIVER,-87.58659137,41.77966308,POINT (-87.58659137 41.77966308)
O1195697,09/30/2021 11:11:00 PM,9104 S VINCENNES AVE,DRIVER,-87.64816707,41.72852791,POINT (-87.64816707 41.72852791)
O1505719,01/26/2023 12:23:00 PM,335 S LARAMIE AVE,PEDESTRIAN,-87.75474498,41.87571235,POINT (-87.75474498 41.87571235)
O999267,11/24/2020 12:30:00 PM,3231 W 26TH ST,PEDESTRIAN,-87.60497,41.736602,POINT (-87.60497 41.736602)
O1371060,07/02/2022 05:50:00 PM,701 S PULASKI RD,MOTORCYCLIST,-87.72525319,41.87249774,POINT (-87.72525319 41.87249774)
O1267254,01/22/2022 05:40:00 AM,3117 W POPE JOHN PAUL II DR,DRIVER,-87.70238045,41.81542877,POINT (-87.70238045 41.81542877)
O978009,10/14/2020 02:37:00 PM,2605 W VAN BUREN ST,PASSENGER,-87.68478,41.831973,POINT (-87.68478 41.831973)
O556614,01/03/2019 03:01:00 PM,4400 N CENTRAL AVE,PEDESTRIAN,-87.76739,41.960528,POINT (-87.76739 41.960528)
O1431490,10/01/2022 11:01:00 AM,3800 W MADISON,DRIVER,-87.72088123,41.88089727,POINT (-87.72088123 41.88089727)
O1565463,04/30/2023 05:25:00 AM,5538 W CHICAGO AVE,DRIVER,-87.7652251,41.89496673,POINT (-87.7652251 41.89496673)
P173037,10/08/2019 05:39:00 AM,3600 S TRUMBULL AVE,PASSENGER,-87.71128,41.844341,POINT (-87.71128 41.844341)
O1299571,03/16/2022 07:37:00 PM,10934 S WESTERN AVE,PEDESTRIAN,-87.68139222,41.69457793,POINT (-87.68139222 41.69457793)
P232662,01/23/2021 11:30:00 PM,8299 S STONY ISLAND AVE,PASSENGER,-87.58523,41.744297,POINT (-87.58523 41.744297)
O1065362,03/25/2021 07:36:00 PM,5100 S MICHIGAN AVE,PEDESTRIAN,-87.62279,41.801897,POINT (-87.62279 41.801897)
O901021,06/17/2020 03:00:00 AM,3300 W 87TH ST,PASSENGER,-87.72607,41.897309,POINT (-87.72607 41.897309)
P306921,07/16/2022 12:53:00 PM,10730 S VINCENNES AVE,PASSENGER,-87.65920347,41.69858237,POINT (-87.65920347 41.69858237)
O1473988,12/03/2022 07:53:00 PM,7001 S STONY ISLAND AVE,PEDESTRIAN,-87.58581992,41.76779762,POINT (-87.58581992 41.76779762)
